S.No.;Kullanim Amaci;Stok No.;"Malzemenin 
Ad?";Malzeme De?i?im Periyodu;"Ana 
Malzemesi";Ana Malzeme Miktar?-y;Araç Ba??na Kullan?m Miktar?-z;Yil Ici Istek Yapma Sayisi-k;"t y?l? ?stek Miktar?-04 istegi
c=b-a";t y?l? ?stek Miktar?-05 istegi-d;t y?l? ?stek Miktar?-06 istegi-e;"t+1 y?l? ?stek Miktar?-04 istegi
i";t+1 y?l? ?stek Miktar?-05 istegi-j;t+1 y?l? ?stek Miktar?-06 istegi-l;"Brl.
?htiyaç Miktar?
a=y*z";Depo Mevcudu-b;"Son ihtiyaç Miktar?
c=(b-a)+(b-?)+(e-j)+l";Birim Fiyati;Kaynak Ihtiyac Miktari
109; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-602-4112 - 2815016024112;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
110; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-602-9425 - 2815016029425;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
111; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-602-9585 - 2815016029585;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
112; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-603-2052 - 2815016032052;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
113; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-603-6220 - 2815016036220;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
114; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-604-0676 - 2815016040676;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
115; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-605-4181 - 2815016054181;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
116; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-606-3623 - 2815016063623;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
117; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-606-9885 - 2815016069885;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
118; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-608-3612 - 2815016083612;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
119; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-608-5362 - 2815016085362;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
120; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-609-0533 - 2815016090533;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
121; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-609-1453 - 2815016091453;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
122; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-609-1600 - 2815016091600;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
123; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-610-0464 - 2815016100464;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
124; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-596-7948 - 2815015967948;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
125; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-597-5235 - 2815015975235;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
126; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-597-8208 - 2815015978208;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
127; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-598-7019 - 2815015987019;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
128; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-598-7154 - 2815015987154;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
129; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-598-7167 - 2815015987167;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
130; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-598-9213 - 2815015989213;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
131; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-599-0641 - 2815015990641;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
132; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-599-6838 - 2815015996838;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
133; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-599-7177 - 2815015997177;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
134; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-593-1270 - 2815015931270;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
135; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-595-0947 - 2815015950947;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
136; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-595-0952 - 2815015950952;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
137; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-595-0954 - 2815015950954;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
138; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-595-4722 - 2815015954722;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
139; PERBAK/FASBAT/YEN?LE?T?RME MALZEMELER?;2815-01-595-5789 - 2815015955789;;;ENGINE, DIESEL;125;;;;;;;;;;;;;
